leaf1	leaf2	leaf3
AT1G01010	1.37309	1.53297	1.44646
AT1G01020	7.19643	7.88435	9.61359
AT1G01030	1.2424	1.73047	1.70552
AT1G01040	5.09938	6.2181	5.59302
AT1G01046	6.11772	5.06638	5.48744
AT1G01050	53.8167	56.9328	55.8103
AT1G01060	6.1566	7.76655	6.17454
AT1G01070	4.19851	4.6904	4.36833
AT1G01073	0	0	0
AT1G01080	46.6206	56.7311	58.8395
AT1G01090	137.951	138.626	125.583
AT1G01100	481.591	475.958	433.455
AT1G01110	3.73716	4.02433	3.88118
AT1G01115	0	0	0
AT1G01120	81.0156	86.2054	87.9409
AT1G01130	3.21693	5.44236	5.71329
AT1G01140	48.849	44.564	42.8497
AT1G01150	0.0630348	0.0861335	0.0777433
AT1G01160	21.5045	22.7019	22.2937
AT1G01170	175.881	179.017	203.799
AT1G01180	24.2238	20.6573	20.8471
AT1G01183	0	0	0
AT1G01190	0.982297	0.765582	1.67995
AT1G01200	2.52869	1.94362	2.20261
AT1G01210	15.612	16.8544	16.6999
AT1G01220	6.55199	8.03211	7.61162
AT1G01225	3.40597	3.93806	3.63755
AT1G01230	43.0209	42.8974	44.2857
AT1G01240	33.1228	31.8836	34.7122
AT1G01250	5.15513	4.47565	4.05958
AT1G01260	6.24686	6.80568	7.3298
AT1G01270	0	0	0
AT1G01280	0	0	0.0108153
AT1G01290	9.74695	10.808	11.6276
AT1G01300	52.386	47.0146	40.3116
AT1G01305	0	0	0
AT1G01310	0	0.0181136	0.019619
AT1G01320	42.8475	58.6867	44.5386
AT1G01340	1.44451	1.24597	0.895088
AT1G01350	9.46178	10.5114	9.12062
AT1G01355	0.479285	0.378396	0.378318
AT1G01360	12.626	13.6825	13.6006
AT1G01370	3.65795	3.69537	3.65572
AT1G01380	3.3614	3.13963	3.40056
AT1G01390	1.94222	2.30572	1.71247
AT1G01400	0	0	0
AT1G01410	0	0	0
AT1G01420	6.4991	7.72416	5.98728
AT1G01430	66.7882	70.6259	73.0576
AT1G01440	10.6774	11.3029	10.6399
AT1G01448	4.35531	4.62804	3.97791
AT1G01450	4.71785	4.57506	5.16801
AT1G01453	0.0676429	0.138645	0.0667413
AT1G01460	0	0	0
AT1G01470	147.126	110.202	112.757
AT1G01471	0	0	0
AT1G01480	0.100059	0.0898408	0.07898
AT1G01490	48.674	52.9571	52.7537
AT1G01500	16.4403	17.7985	16.4017
AT1G01510	19.4742	21.3356	19.3076
AT1G01520	0.652832	0.892058	0.805163
AT1G01530	0.0562523	0.0256219	0
AT1G01540	42.1931	45.2341	44.4981
AT1G01550	143.723	147.466	138.093
AT1G01560	2.83586	2.32312	1.74245
AT1G01570	1.16884	1.14406	1.31276
AT1G01580	0.645442	0.701775	0.657382
AT1G01590	0.0160217	0.0510832	0.0237123
AT1G01600	5.67301	5.61636	5.54343
AT1G01610	48.0875	50.1315	45.0683
AT1G01620	687.101	614.494	651.1
AT1G01630	51.6787	53.011	52.2025
AT1G01640	2.17551	2.57138	1.69215
AT1G01650	19.6765	18.3103	16.606
AT1G01660	0.20386	0.269278	0.201143
AT1G01670	0.990873	1.43498	0.940063
AT1G01680	0.646392	0.312821	0.458402
AT1G01690	2.16219	2.1385	1.98098
AT1G01695	0.097794	0.0636334	0.151628
AT1G01700	0.403438	0.512296	0.518685
AT1G01710	13.3825	12.983	12.6696
AT1G01720	23.022	23.4225	20.3606
AT1G01725	22.9185	25.0991	23.6016
AT1G01730	28.6909	28.3789	25.2132
AT1G01740	2.85301	3.30757	2.62725
AT1G01750	0.927249	0.968909	1.02252
AT1G01760	2.18734	2.5727	2.29477
AT1G01770	7.06339	8.40488	8.06081
AT1G01780	6.23397	7.88951	7.3274
AT1G01790	43.8141	46.7446	42.3262
AT1G01800	49.1415	52.3738	52.6236
AT1G01810	0.426248	0.388296	0.560756
AT1G01820	66.4518	67.5818	66.0869
AT1G01830	9.70732	12.1166	9.73823
AT1G01840	1.71902	1.99717	2.21232
AT1G01860	10.6259	11.8498	11.7783
AT1G01870	0	0	0
AT1G01880	1.04242	1.30765	1.1887
AT1G01890	0	0	0
AT1G01900	3.44575	3.83719	3.65414
AT1G01910	34.877	36.5018	35.2791
AT1G01920	6.87749	7.47566	8.49719
AT1G01930	5.88574	6.55059	6.17762
AT1G01940	11.9109	14.3352	13.7824
AT1G01950	6.50517	7.51461	6.89542
AT1G01960	23.8432	27.23	23.1806
