AT2G43120	OS03G0845000
AT3G18710	OS02G0540700
AT3G18710	OS05G0439400
AT3G18710	OS04G0418500
AT4G25880	OS08G0519800
AT4G25880	OS09G0497100
AT1G78930	OS09G0560100
AT3G07950	OS07G0655400
AT3G07950	OS03G0358200
AT3G07950	OS04G0103300
AT4G03450	OS07G0193200
AT1G71695	OS01G0962700
AT1G71695	OS01G0963000
AT1G58983	OS03G0807800
AT1G58983	OS07G0207400
AT1G12980	OS02G0594300
AT5G41480	OS12G0623800
AT3G51870	OS01G0265200
AT4G29950	OS06G0661700
AT4G29950	OS08G0518100
AT3G18310	OS03G0240400
AT3G18310	OS09G0104700
AT5G07360	OS11G0536800
AT4G26490	OS08G0494000
AT5G46240	OS02G0245800
AT5G46240	OS01G0210700
AT5G46240	OS01G0756700
AT5G62260	OS02G0125200
AT5G62260	OS08G0118000
AT3G25717	OS09G0306566
AT3G25717	OS09G0306500
AT5G35715	OS03G0568400
AT5G35715	OS12G0512800
AT5G35715	OS07G0293000
AT2G21390	OS09G0127800
AT2G21390	OS03G0711400
AT2G21390	OS03G0711500
AT3G48330	OS04G0481400
AT3G48330	OS08G0557000
AT4G32710	OS01G0227200
AT4G32710	OS05G0218400
AT3G46440	OS03G0278000
AT3G53910	OS05G0574400
AT3G53910	OS01G0649100
AT2G18870	OS08G0220600
AT3G16830	OS01G0254100
AT5G20470	OS03G0860801
AT5G20470	OS01G0584200
AT5G04950	OS07G0689600
AT5G04950	OS03G0307300
AT5G04950	OS03G0307200
AT4G13720	OS10G0457500
AT5G50110	OS06G0239000
AT3G03305	OS07G0274100
AT3G03305	OS01G0894000
AT5G66670	OS03G0199100
AT5G66670	OS10G0359200
AT2G26900	OS01G0645200
AT1G72450	OS09G0439200
AT1G72450	OS07G0615200
AT1G72450	OS03G0402800
AT5G03560	OS06G0308200
AT4G27340	OS01G0390400
AT3G28960	OS06G0228500
AT1G65630	OS05G0417100
AT3G10210	OS01G0948300
AT4G27830	OS01G0930800
AT4G27830	OS05G0366600
AT4G27830	OS01G0813700
AT4G27830	OS05G0365600
AT4G27830	OS05G0366800
AT4G27830	OS05G0366000
AT4G27830	OS01G0813800
AT2G32710	OS10G0471700
AT2G32710	OS03G0137800
AT5G27680	OS05G0150600
AT5G61960	OS05G0102800
AT5G61960	OS02G0517531
AT4G29180	OS02G0151100
AT4G29180	OS09G0356000
AT4G29180	OS09G0349100
AT4G29180	OS05G0525000
AT4G29180	OS05G0524500
AT4G29180	OS09G0355400
AT4G29180	OS05G0525600
AT4G29180	OS05G0525800
AT4G29180	OS12G0567500
AT4G29180	OS09G0350900
AT4G29180	OS09G0348400
AT4G29180	OS09G0351700
AT4G29180	OS09G0356800
AT3G09680	OS01G0834600
AT3G09680	OS10G0350450
AT3G09680	OS03G0818400
AT3G09680	OS01G0834500
AT3G09680	OS10G0350001
AT1G15210	OS06G0554800
AT3G63470	OS07G0656900
AT2G16970	OS02G0667500
AT2G16970	OS05G0307100
AT1G15250	OS02G0815000
AT1G15250	OS08G0128500
AT1G15250	OS02G0111700
AT1G79700	OS09G0423800
AT1G79700	OS08G0442400
AT2G46620	OS10G0519300
AT2G46620	OS10G0372300
AT2G46620	OS01G0354450
AT2G46620	OS03G0114400
AT3G46920	OS06G0181200
AT3G46920	OS06G0181100
